Sun Nov 28 16:10:22 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,559.31G,39%,880.69G
TBS_SALE,1440G,377.45G,26%,1062.55G
UNDOTBS1,40G,3.3G,8%,36.7G
SYSAUX,32.56G,2.22G,7%,30.34G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.31G,1%,39.69G


