Fri Dec 03 09:06:06 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,560.94G,39%,879.06G
TBS_SALE,1440G,378.53G,26%,1061.47G
UNDOTBS1,40G,3.26G,8%,36.74G
SYSAUX,32.56G,2.28G,7%,30.27G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.3G,1%,39.7G


