Sat Oct 23 14:23:04 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,544.12G,38%,895.88G
TBS_SALE,1440G,368.22G,26%,1071.78G
UNDOTBS1,40G,3.28G,8%,36.72G
SYSAUX,32.56G,2.23G,7%,30.33G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.21G,1%,39.79G


