Sun Dec 05 13:52:41 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,561.89G,39%,878.11G
TBS_SALE,1440G,379.28G,26%,1060.72G
UNDOTBS1,40G,3.27G,8%,36.73G
SYSAUX,32.56G,2.27G,7%,30.29G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.32G,1%,39.68G


