Mon Nov 22 09:12:01 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,556.31G,39%,883.69G
TBS_SALE,1440G,375.95G,26%,1064.05G
UNDOTBS1,40G,3.27G,8%,36.73G
SYSAUX,32.56G,2.22G,7%,30.33G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.34G,1%,39.66G


