Tue Oct 19 14:11:57 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,542.69G,38%,897.31G
TBS_SALE,1440G,367.34G,26%,1072.66G
UNDOTBS1,40G,3.66G,9%,36.34G
SYSAUX,32.56G,2.32G,7%,30.24G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.37G,1%,39.63G


