Fri Oct 22 13:08:16 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,543.62G,38%,896.38G
TBS_SALE,1440G,368.09G,26%,1071.91G
UNDOTBS1,40G,3.25G,8%,36.75G
SYSAUX,32.56G,2.31G,7%,30.25G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.25G,1%,39.75G


