Wed Dec 01 09:17:18 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,560.5G,39%,879.5G
TBS_SALE,1440G,378.08G,26%,1061.92G
UNDOTBS1,40G,3.24G,8%,36.76G
SYSAUX,32.56G,2.22G,7%,30.33G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.27G,1%,39.73G


