Sun Oct 24 13:35:17 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,544.62G,38%,895.38G
TBS_SALE,1440G,368.47G,26%,1071.53G
UNDOTBS1,40G,3.3G,8%,36.7G
SYSAUX,32.56G,2.26G,7%,30.3G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.19G,0%,39.81G


