Thu Dec 02 09:18:21 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,560.75G,39%,879.25G
TBS_SALE,1440G,378.27G,26%,1061.73G
UNDOTBS1,40G,3.21G,8%,36.79G
SYSAUX,32.56G,2.25G,7%,30.31G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.28G,1%,39.72G


