Mon Nov 15 09:18:42 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,553.83G,38%,886.17G
TBS_SALE,1440G,374.19G,26%,1065.81G
UNDOTBS1,40G,3.25G,8%,36.75G
SYSAUX,32.56G,2.18G,7%,30.38G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.37G,1%,39.63G


