Mon Oct 25 09:17:31 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,544.89G,38%,895.11G
TBS_SALE,1440G,368.72G,26%,1071.28G
UNDOTBS1,40G,3.21G,8%,36.79G
SYSAUX,32.56G,2.28G,7%,30.27G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.27G,1%,39.73G


