Wed Oct 20 17:44:19 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,543.5G,38%,896.5G
TBS_SALE,1440G,367.59G,26%,1072.41G
UNDOTBS1,40G,3.27G,8%,36.73G
SYSAUX,32.56G,2.26G,7%,30.3G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.21G,1%,39.79G


