Fri Oct 29 11:44:12 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,546.88G,38%,893.12G
TBS_SALE,1440G,369.86G,26%,1070.14G
UNDOTBS1,40G,3.27G,8%,36.73G
SYSAUX,32.56G,2.26G,7%,30.29G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.41G,1%,39.59G


