Sat Nov 06 12:25:27 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,549.99G,38%,890.01G
TBS_SALE,1440G,371.74G,26%,1068.26G
UNDOTBS1,40G,3.29G,8%,36.71G
SYSAUX,32.56G,2.2G,7%,30.36G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.31G,1%,39.69G


