Tue Nov 23 09:26:06 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,556.88G,39%,883.12G
TBS_SALE,1440G,376.14G,26%,1063.86G
UNDOTBS1,40G,3.23G,8%,36.77G
SYSAUX,32.56G,2.25G,7%,30.3G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.31G,1%,39.69G


