Fri Nov 12 09:05:24 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,552.26G,38%,887.74G
TBS_SALE,1440G,373.49G,26%,1066.51G
UNDOTBS1,40G,3.26G,8%,36.74G
SYSAUX,32.56G,2.18G,7%,30.38G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.36G,1%,39.64G


