Tue Oct 19 09:01:18 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,542.38G,38%,897.62G
TBS_SALE,1440G,367.34G,26%,1072.66G
UNDOTBS1,40G,3.24G,8%,36.76G
SYSAUX,32.56G,2.31G,7%,30.25G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.18G,0%,39.82G


