Sat Dec 04 21:45:33 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,561.77G,39%,878.23G
TBS_SALE,1440G,379.28G,26%,1060.72G
UNDOTBS1,40G,3.22G,8%,36.78G
SYSAUX,32.56G,2.25G,7%,30.31G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.29G,1%,39.71G


