Wed Oct 13 00:05:05 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,540.14G,38%,899.86G
TBS_SALE,1440G,365.72G,25%,1074.28G
UNDOTBS1,40G,3.24G,8%,36.76G
SYSAUX,32.56G,2.34G,7%,30.22G
UNDOTBS2,40G,.87G,2%,39.13G
SR_SRC,1G,.01G,1%,.99G


