Wed Nov 10 09:01:08 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,551.42G,38%,888.58G
TBS_SALE,1440G,372.86G,26%,1067.14G
UNDOTBS1,40G,3.2G,8%,36.8G
SYSAUX,32.56G,2.23G,7%,30.33G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.34G,1%,39.66G


