Tue Nov 09 09:08:53 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,550.74G,38%,889.26G
TBS_SALE,1440G,372.61G,26%,1067.39G
UNDOTBS1,40G,3.26G,8%,36.74G
SYSAUX,32.56G,2.19G,7%,30.36G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.35G,1%,39.65G


