Thu Oct 21 13:52:27 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
GGS_DATA,5.79G,3.29G,57%,2.51G
SYSTEM,1G,.56G,56%,.44G
USERS,0G,0G,49%,0G
TBS_SALE_IDX,1440G,543.56G,38%,896.44G
TBS_SALE,1440G,367.84G,26%,1072.16G
UNDOTBS1,40G,3.25G,8%,36.75G
SYSAUX,32.56G,2.28G,7%,30.28G
SR_SRC,1G,.01G,1%,.99G
UNDOTBS2,40G,.27G,1%,39.73G


