Tue Oct 26 09:31:48 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1539.48G,93%,110.52G
TBS_SALE,2020G,1488.15G,74%,531.85G
SYSAUX,33.56G,22.36G,67%,11.2G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS1,68G,14.21G,21%,53.79G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,11.42G,17%,56.58G
SR_SRC,5G,0G,0%,5G


