Wed Dec 01 09:17:20 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1552.08G,94%,97.92G
TBS_SALE,2020G,1464.69G,73%,555.31G
SYSAUX,33.56G,23.86G,71%,9.7G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,16.94G,25%,51.06G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,9.1G,13%,58.9G
SR_SRC,5G,0G,0%,5G


