Thu Nov 04 09:24:15 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1549.14G,94%,100.86G
TBS_SALE,2020G,1495.95G,74%,524.05G
SYSAUX,33.56G,22.53G,67%,11.03G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,16.78G,25%,51.22G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,8.31G,12%,59.69G
SR_SRC,5G,0G,0%,5G


