Wed Nov 10 09:01:10 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1551.89G,94%,98.11G
TBS_SALE,2020G,1496.43G,74%,523.57G
SYSAUX,33.56G,23.52G,70%,10.04G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,17.55G,26%,50.45G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,6.88G,10%,61.12G
SR_SRC,5G,0G,0%,5G


