Fri Nov 05 09:07:26 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1550.08G,94%,99.92G
TBS_SALE,2020G,1496.87G,74%,523.13G
SYSAUX,33.56G,23.13G,69%,10.44G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,12.63G,19%,55.37G
UNDOTBS1,68G,12.53G,18%,55.47G
SR_SRC,5G,0G,0%,5G


