Mon Dec 06 09:09:19 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1516.89G,92%,133.11G
SYSAUX,33.56G,24G,72%,9.56G
TBS_SALE,2020G,1417.84G,70%,602.16G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS1,68G,21.35G,31%,46.65G
UNDOTBS2,68G,20.11G,30%,47.89G
USERS,0G,0G,20%,0G
SR_SRC,5G,0G,0%,5G


