Sun Oct 24 13:35:18 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1537.6G,93%,112.4G
TBS_SALE,2020G,1487.09G,74%,532.91G
SYSAUX,33.56G,22.35G,67%,11.22G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS1,68G,14.74G,22%,53.26G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,10.79G,16%,57.21G
SR_SRC,5G,0G,0%,5G


