Thu Oct 28 13:00:33 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1541.91G,93%,108.09G
TBS_SALE,2020G,1490.05G,74%,529.95G
SYSAUX,33.56G,22.35G,67%,11.21G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,17.65G,26%,50.35G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,7.5G,11%,60.5G
SR_SRC,5G,0G,0%,5G


