Sat Nov 13 10:12:28 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1533.32G,93%,116.68G
TBS_SALE,2020G,1450.48G,72%,569.52G
SYSAUX,33.56G,23.27G,69%,10.29G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,17.79G,26%,50.21G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,7.02G,10%,60.98G
SR_SRC,5G,0G,0%,5G


