Wed Oct 13 09:17:02 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1525.72G,92%,124.28G
TBS_SALE,2020G,1477.81G,73%,542.19G
SYSAUX,33.56G,21.48G,64%,12.09G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS1,68G,15.72G,23%,52.28G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,9.18G,14%,58.82G
SR_SRC,5G,0G,0%,5G


