Sat Nov 27 14:14:29 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1548.07G,94%,101.93G
TBS_SALE,2020G,1461.7G,72%,558.3G
SYSAUX,33.56G,23.68G,71%,9.88G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,17.3G,25%,50.7G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,7.38G,11%,60.62G
SR_SRC,5G,0G,0%,5G


