Sat Oct 23 14:23:05 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1536.61G,93%,113.39G
TBS_SALE,2020G,1485.97G,74%,534.03G
SYSAUX,33.56G,22.2G,66%,11.37G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS1,68G,14.21G,21%,53.79G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,13.65G,20%,54.35G
SR_SRC,5G,0G,0%,5G


