Mon Nov 29 09:14:37 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1550.23G,94%,99.77G
TBS_SALE,2020G,1463.25G,72%,556.75G
SYSAUX,33.56G,23.85G,71%,9.71G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS1,68G,18.24G,27%,49.76G
UNDOTBS2,68G,14.45G,21%,53.55G
USERS,0G,0G,20%,0G
SR_SRC,5G,0G,0%,5G


