Mon Oct 25 09:17:33 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1538.27G,93%,111.73G
TBS_SALE,2020G,1487.53G,74%,532.47G
SYSAUX,33.56G,22.42G,67%,11.15G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,17.83G,26%,50.17G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,11.15G,16%,56.85G
SR_SRC,5G,0G,0%,5G


