Mon Oct 25 16:21:54 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1538.94G,93%,111.06G
TBS_SALE,2020G,1487.9G,74%,532.1G
SYSAUX,33.56G,22.25G,66%,11.31G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,17.64G,26%,50.36G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,8.13G,12%,59.87G
SR_SRC,5G,0G,0%,5G


