Fri Oct 22 13:08:17 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1535.31G,93%,114.69G
TBS_SALE,2020G,1485.09G,74%,534.91G
SYSAUX,33.56G,22.07G,66%,11.49G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,19.25G,28%,48.75G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,8.7G,13%,59.3G
SR_SRC,5G,0G,0%,5G


