Sat Dec 04 21:45:35 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1549.07G,94%,100.93G
TBS_SALE,2020G,1456.33G,72%,563.67G
SYSAUX,33.56G,24.04G,72%,9.52G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,19.48G,29%,48.52G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,8.67G,13%,59.33G
SR_SRC,5G,0G,0%,5G


