Mon Nov 22 09:12:02 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1543.01G,94%,106.99G
TBS_SALE,2020G,1458.09G,72%,561.91G
SYSAUX,33.56G,23.57G,70%,9.99G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,13.12G,19%,54.88G
UNDOTBS2,68G,11.18G,16%,56.82G
SR_SRC,5G,0G,0%,5G


