Wed Oct 27 09:14:43 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1540.63G,93%,109.37G
TBS_SALE,2020G,1489.09G,74%,530.91G
SYSAUX,33.56G,22.36G,67%,11.2G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS1,68G,14.75G,22%,53.25G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,11.61G,17%,56.39G
SR_SRC,5G,0G,0%,5G


