Fri Nov 26 09:15:56 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1546.86G,94%,103.14G
TBS_SALE,2020G,1460.85G,72%,559.15G
SYSAUX,33.56G,23.57G,70%,9.99G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,15.95G,23%,52.05G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,12.09G,18%,55.91G
SR_SRC,5G,0G,0%,5G


