Fri Dec 03 09:06:07 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1547.06G,94%,102.94G
TBS_SALE,2020G,1454.66G,72%,565.34G
SYSAUX,33.56G,23.86G,71%,9.7G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,17.79G,26%,50.21G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,9.23G,14%,58.77G
SR_SRC,5G,0G,0%,5G


