Wed Nov 10 12:20:29 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1552.02G,94%,97.98G
TBS_SALE,2020G,1496.59G,74%,523.41G
SYSAUX,33.56G,23.34G,70%,10.22G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,17.66G,26%,50.34G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,6.56G,10%,61.44G
SR_SRC,5G,0G,0%,5G


