Thu Oct 28 09:10:46 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1541.84G,93%,108.16G
TBS_SALE,2020G,1490.05G,74%,529.95G
SYSAUX,33.56G,22.34G,67%,11.22G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,17.44G,26%,50.56G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,12.42G,18%,55.58G
SR_SRC,5G,0G,0%,5G


