Fri Oct 29 11:44:13 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1542.97G,94%,107.03G
TBS_SALE,2020G,1490.83G,74%,529.17G
SYSAUX,33.56G,22.21G,66%,11.35G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,13.32G,20%,54.68G
UNDOTBS2,68G,11.81G,17%,56.19G
SR_SRC,5G,0G,0%,5G


