Sun Nov 07 15:45:02 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1549.19G,94%,100.81G
TBS_SALE,2020G,1494.58G,74%,525.42G
SYSAUX,33.56G,23.16G,69%,10.4G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,18.21G,27%,49.79G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,6.39G,9%,61.61G
SR_SRC,5G,0G,0%,5G


