Tue Nov 09 09:08:55 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1550.83G,94%,99.17G
TBS_SALE,2020G,1495.83G,74%,524.17G
SYSAUX,33.56G,23.55G,70%,10.01G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,17.2G,25%,50.8G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,9.31G,14%,58.69G
SR_SRC,5G,0G,0%,5G


