Fri Oct 29 09:11:14 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1542.87G,94%,107.13G
TBS_SALE,2020G,1490.82G,74%,529.18G
SYSAUX,33.56G,22.21G,66%,11.36G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,14.21G,21%,53.79G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,13.52G,20%,54.48G
SR_SRC,5G,0G,0%,5G


