Sat Nov 06 12:25:29 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1547.6G,94%,102.4G
TBS_SALE,2020G,1493.51G,74%,526.49G
SYSAUX,33.56G,23.24G,69%,10.33G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,16.43G,24%,51.57G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,8.36G,12%,59.64G
SR_SRC,5G,0G,0%,5G


