Wed Oct 20 14:49:21 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1533.38G,93%,116.62G
TBS_SALE,2020G,1483.7G,73%,536.3G
SYSAUX,33.56G,22.21G,66%,11.35G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS2,68G,20.41G,30%,47.59G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,8.96G,13%,59.04G
SR_SRC,5G,0G,0%,5G


