Thu Nov 11 09:16:19 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1531.24G,93%,118.76G
TBS_SALE,2020G,1448.85G,72%,571.15G
SYSAUX,33.56G,23.32G,69%,10.24G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,15.09G,22%,52.91G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,13.74G,20%,54.26G
SR_SRC,5G,0G,0%,5G


