Thu Dec 02 09:18:23 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1545.93G,94%,104.07G
TBS_SALE,2020G,1453.74G,72%,566.26G
SYSAUX,33.56G,23.8G,71%,9.76G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS1,68G,16.28G,24%,51.72G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,11.97G,18%,56.03G
SR_SRC,5G,0G,0%,5G


