Sun Nov 28 20:50:35 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1550.07G,94%,99.93G
TBS_SALE,2020G,1463.04G,72%,556.96G
SYSAUX,33.56G,24.02G,72%,9.54G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,15.77G,23%,52.23G
UNDOTBS1,68G,14.64G,22%,53.36G
USERS,0G,0G,20%,0G
SR_SRC,5G,0G,0%,5G


