Tue Nov 23 09:26:07 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1544.08G,94%,105.92G
TBS_SALE,2020G,1458.61G,72%,561.39G
SYSAUX,33.56G,23.73G,71%,9.83G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,17.29G,25%,50.71G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,8.22G,12%,59.78G
SR_SRC,5G,0G,0%,5G


