Tue Oct 19 09:01:19 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1532.03G,93%,117.97G
TBS_SALE,2020G,1482.6G,73%,537.4G
SYSAUX,33.56G,22.39G,67%,11.18G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
UNDOTBS1,68G,16.9G,25%,51.1G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,13.59G,20%,54.41G
SR_SRC,5G,0G,0%,5G


