Wed Nov 24 09:13:17 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1544.84G,94%,105.16G
TBS_SALE,2020G,1459.14G,72%,560.86G
SYSAUX,33.56G,23.69G,71%,9.88G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS1,68G,14.38G,21%,53.62G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,12.47G,18%,55.53G
SR_SRC,5G,0G,0%,5G


