Sun Dec 05 13:52:42 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1549.48G,94%,100.52G
TBS_SALE,2020G,1456.74G,72%,563.26G
SYSAUX,33.56G,23.92G,71%,9.65G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS1,68G,14.28G,21%,53.72G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,12.29G,18%,55.71G
SR_SRC,5G,0G,0%,5G


