Sun Nov 21 10:46:06 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1542.04G,93%,107.96G
TBS_SALE,2020G,1457.24G,72%,562.76G
SYSAUX,33.56G,23.46G,70%,10.11G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS2,68G,16.87G,25%,51.13G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,12.6G,19%,55.4G
SR_SRC,5G,0G,0%,5G


