Mon Nov 08 09:07:47 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1550.04G,94%,99.96G
TBS_SALE,2020G,1495.12G,74%,524.88G
SYSAUX,33.56G,23.22G,69%,10.34G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.88G
USERS,0G,0G,20%,0G
UNDOTBS1,68G,12.66G,19%,55.34G
UNDOTBS2,68G,13.04G,19%,54.96G
SR_SRC,5G,0G,0%,5G


