Tue Nov 16 09:10:51 2021
TableSpace,Total(G),UsedSpace(G),Used(%),FreeSpace(G)
TBS_SALE_IDX,1650G,1536.6G,93%,113.4G
TBS_SALE,2020G,1453.02G,72%,566.98G
SYSAUX,33.56G,23.59G,70%,9.98G
SYSTEM,2G,1.22G,61%,.78G
GGS_DATA,4.2G,2.33G,55%,1.87G
UNDOTBS1,68G,14.87G,22%,53.13G
USERS,0G,0G,20%,0G
UNDOTBS2,68G,9.79G,14%,58.21G
SR_SRC,5G,0G,0%,5G


